OTU_ID	kingdom	phylum	class	order	family	genus	species
OTU1501	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
OTU1619	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Phialocephala	s__Phialocephala_trigonospora
OTU1622	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales			
OTU1629	k__Fungi						
OTU1643	k__Fungi						
OTU1647	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Clavicipitaceae	g__Metacordyceps	s__Metacordyceps_chlamydosporia
OTU1658	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Thyridariaceae	g__Roussoella	
OTU1709	k__Fungi	p__Ascomycota					
OTU2002	k__Fungi	p__Mucoromycota	c__Endogonomycetes	o__GS22	f__unidentified	g__unidentified	s__unidentified
OTU2079	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis		
OTU2123	k__Fungi						
OTU2148	k__Fungi	p__Basidiomycota	c__Agaricomycetes				
OTU2310	k__Fungi						
OTU2311	k__Fungi						
OTU2381	k__Fungi	p__Mortierellomycota	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
OTU2407	k__Fungi	p__Mucoromycota	c__Endogonomycetes	o__GS21	f__unidentified	g__unidentified	s__unidentified
OTU2426	k__Fungi	p__Ascomycota					
OTU2698	k__Fungi						
OTU2703	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	
OTU2748	k__Fungi						
OTU2794	k__Fungi						
OTU2837	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales			
OTU632	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__Penicillium_melinii
OTU644	k__Fungi						
OTU721	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Tremellaceae	g__Cryptococcus	s__unidentified
OTU809	k__Fungi	p__Ascomycota					
OTU831	Unclassified						
OTU891	k__Fungi						
OTU902	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Talaromyces	
OTU907	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales			
OTU948	k__Fungi	p__Ascomycota					
OTU726	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Acidomelania	s__Acidomelania_panicicola
OTU1056	k__Fungi	p__Mucoromycota	c__Umbelopsidomycetes	o__GS23	f__unidentified	g__unidentified	s__unidentified
OTU306	k__Fungi	p__Ascomycota	c__Sordariomycetes				
OTU1079	k__Fungi						
OTU1037	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Mycena	
OTU772	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales			
OTU773	k__Fungi	p__Ascomycota					
OTU172	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Hydropus	s__unidentified
OTU865	k__Fungi						
OTU290	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__unidentified	g__unidentified	s__unidentified
OTU154	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Chaetosphaeriales	f__Chaetosphaeriaceae	g__Chaetosphaeria	s__unidentified
OTU1685	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Ganodermataceae	g__Ganoderma	
OTU1062	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Curvularia	
OTU618	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Lachnum	
OTU358	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Omphalotaceae	g__Mycetinis	s__Mycetinis_scorodonius
OTU1060	k__Fungi	p__Basidiomycota	c__Agaricomycetes				
OTU1064	k__Fungi						
OTU1077	k__Fungi						
OTU1355	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales			
OTU1690	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Xylariaceae		
OTU1699	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Hygrophoraceae		
OTU438	k__Fungi	p__Ascomycota	c__Sordariomycetes				
OTU68	k__Fungi	p__Mucoromycota	c__Mucoromycetes	o__Mucorales	f__Mucoraceae	g__Mucor	s__Mucor_moelleri
OTU1061	k__Fungi	p__GS19	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
OTU1063	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1078	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Rasamsonia	s__unidentified
OTU1676	k__Fungi	p__Ascomycota					
OTU502	k__Fungi						
OTU1071	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	
OTU1066	k__Fungi	p__Glomeromycota					
OTU1085	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Xylariaceae	g__Calceomyces	s__Calceomyces_lacunosus
OTU1082	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Schwanniomyces	s__Schwanniomyces_yamadae
OTU1679	k__Fungi						
OTU2821	k__Fungi						
OTU762	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Mycosphaerellaceae	g__Mycosphaerella	s__Mycosphaerella_latebrosa
OTU881	k__Fungi						
OTU171	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	
OTU1710	k__Fungi	p__Basidiomycota	c__Geminibasidiomycetes	o__Geminibasidiales	f__Geminibasidiaceae	g__Geminibasidium	s__unidentified
OTU1057	k__Fungi						
OTU1280	k__Fungi						
OTU1677	k__Fungi	p__Ascomycota					
OTU1706	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae		
OTU377	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales			
OTU389	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Teratosphaeriaceae	g__Penidiella	s__unidentified
OTU645	k__Fungi	p__Ascomycota					
OTU1680	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Omphalotaceae	g__Gymnopus	s__unidentified
OTU147	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	
OTU280	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Atheliaceae	g__Athelopsis	s__Athelopsis_lembospora
OTU1293	k__Fungi	p__Glomeromycota					
OTU1943	k__Fungi	p__Ascomycota					
OTU353	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__unidentified	g__unidentified	s__unidentified
OTU1088	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lophiostomataceae	g__unidentified	s__unidentified
OTU1303	k__Fungi						
OTU1451	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Entolomataceae	g__Entoloma	
OTU1692	k__Fungi						
OTU1693	k__Fungi	p__Mucoromycota	c__Endogonomycetes	o__GS22	f__unidentified	g__unidentified	s__unidentified
OTU1702	k__Fungi	p__Ascomycota					
OTU2430	k__Fungi	p__Mucoromycota	c__Endogonomycetes	o__GS22	f__unidentified	g__unidentified	s__unidentified
OTU2750	k__Fungi						
OTU315	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Solheimia	s__Solheimia_costispora
OTU330	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Acremonium	s__Acremonium_persicinum
OTU338	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	g__Coniochaeta	s__unidentified
OTU155	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	s__Trichoderma_neorufum
OTU339	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales			
OTU775	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Bionectriaceae	g__Clonostachys	
OTU1662	k__Fungi						
OTU1673	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Xylariales_fam_Incertae_sedis	g__Castanediella	s__unidentified
OTU1704	k__Fungi						
OTU390	k__Fungi	p__Ascomycota					
OTU1003	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Microdochiaceae	g__Microdochium	s__Microdochium_neoqueenslandicum
OTU1278	k__Fungi						
OTU1684	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Entolomataceae	g__Entoloma	
OTU548	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Hymenochaetales_fam_Incertae_sedis	g__Peniophorella	
OTU699	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Trechisporales	f__Hydnodontaceae	g__Trechispora	s__unidentified
OTU778	k__Fungi	p__Ascomycota					
OTU864	k__Fungi	p__Ascomycota					
OTU113	k__Fungi	p__Mucoromycota	c__Mucoromycetes	o__Mucorales	f__Lichtheimiaceae	g__Circinella	s__Circinella_simplex
OTU188	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales			
OTU1195	k__Fungi	p__Ascomycota					
OTU1675	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Venturiales			
OTU1666	k__Fungi	p__Basidiomycota	c__Agaricomycetes				
OTU234	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Pyrenochaetopsis	s__Pyrenochaetopsis_leptospora
OTU1146	k__Fungi	p__Ascomycota					
OTU1250	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Leotiomycetes_ord_Incertae_sedis	f__Pseudeurotiaceae		
OTU1358	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Dactylella	s__Dactylella_zhongdianensis
OTU1427	k__Fungi	p__Basidiomycota	c__Agaricomycetes				
OTU1639	k__Fungi						
OTU1642	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Ophiocordycipitaceae	g__Ophiocordyceps	s__Ophiocordyceps_sessilis
OTU1668	k__Fungi	p__Ascomycota	c__Sordariomycetes				
OTU1669	k__Fungi						
OTU1670	k__Fungi	p__Basidiomycota	c__Agaricomycetes				
OTU1682	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales			
OTU1688	k__Fungi						
OTU1700	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales			
OTU1711	k__Fungi	p__Basidiomycota	c__Geminibasidiomycetes	o__Geminibasidiales	f__Geminibasidiaceae	g__Geminibasidium	s__Geminibasidium_donsium
OTU2401	k__Fungi	p__Ascomycota					
OTU2724	k__Fungi						
OTU359	k__Fungi	p__Ascomycota	c__Sordariomycetes				
OTU666	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Clavariaceae	g__Clavaria	s__Clavaria_flavipes
OTU771	k__Fungi						
OTU779	k__Fungi						
OTU829	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__unidentified	g__unidentified	s__unidentified
OTU903	k__Fungi	p__Ascomycota					
OTU984	k__Fungi						
OTU60	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	
OTU196	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae		
OTU1524	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Apiosporaceae	g__Arthrinium	s__Arthrinium_phaeospermum
OTU1815	k__Fungi						
OTU690	k__Fungi	p__Basidiomycota	c__Pucciniomycetes	o__Platygloeales	f__unidentified	g__unidentified	s__unidentified
OTU1058	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Sebacinaceae	g__unidentified	s__unidentified
OTU1065	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales			
OTU1067	k__Fungi						
OTU1068	k__Fungi	p__Ascomycota					
OTU1069	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Mycosphaerellaceae		
OTU1247	k__Fungi	p__Basidiomycota					
OTU1346	k__Fungi	p__Ascomycota					
OTU1508	k__Fungi						
OTU1663	k__Fungi	p__Ascomycota					
OTU1665	k__Fungi						
OTU1887	k__Fungi						
OTU2020	k__Fungi						
OTU2106	k__Fungi						
OTU2122	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Paraphoma	s__Paraphoma_dioscoreae
OTU2234	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Mycosphaerellaceae	g__Zymoseptoria	s__Zymoseptoria_brevis
OTU2309	k__Fungi						
OTU2318	k__Fungi	p__Mucoromycota	c__Endogonomycetes	o__Endogonales	f__Endogonaceae	g__Endogone	
OTU2592	k__Fungi	p__Ascomycota					
OTU2867	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lophiostomataceae	g__Biappendiculispora	s__Biappendiculispora_japonica
OTU570	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales			
OTU702	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Cantharellales_fam_Incertae_sedis	g__Sistotrema	s__Sistotrema_coronilla
OTU777	k__Fungi						
OTU860	k__Fungi	p__Ascomycota					
OTU958	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Trechisporales	f__Hydnodontaceae	g__Trechispora	
OTU1092	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	
OTU972	k__Fungi	p__Basidiomycota	c__Pucciniomycetes	o__Platygloeales	f__unidentified	g__unidentified	s__unidentified
OTU1664	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae		
OTU1691	k__Fungi	p__Glomeromycota					
OTU180	k__Fungi						
OTU1889	k__Fungi	p__Ascomycota					
OTU460	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Pyrenochaetopsis	
OTU489	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae		
OTU879	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Acremonium	s__Acremonium_spinosum
OTU1041	k__Fungi						
OTU1075	k__Fungi	p__Ascomycota					
OTU1154	k__Fungi						
OTU1177	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
OTU1180	k__Fungi						
OTU1188	k__Fungi						
OTU1351	k__Fungi	p__Ascomycota					
OTU1402	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes				
OTU1440	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Orbilia	s__Orbilia_aristata
OTU1671	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Trichosphaeriales	f__Trichosphaeriaceae	g__Nigrospora	s__Nigrospora_oryzae
OTU1674	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Coprinopsis	s__unidentified
OTU1678	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Magnaporthales	f__Magnaporthaceae	g__Pseudophialophora	
OTU1681	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales			
OTU1707	k__Fungi	p__Ascomycota					
OTU1712	k__Fungi	p__Mucoromycota	c__Endogonomycetes	o__GS21	f__unidentified	g__unidentified	s__unidentified
OTU1713	k__Fungi						
OTU1812	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	
OTU1834	k__Fungi	p__Ascomycota	c__Geoglossomycetes	o__Geoglossomycetes_ord_Incertae_sedis	f__Geoglossomycetes_fam_Incertae_sedis	g__Nothomitra	s__Nothomitra_cinnamomea
OTU1929	k__Fungi						
OTU199	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Phaeomoniellales	f__Phaeomoniellales_fam_Incertae_sedis	g__Aequabiliella	s__Aequabiliella_effusa
OTU1997	k__Fungi						
OTU2021	k__Fungi	p__Ascomycota					
OTU2034	k__Fungi						
OTU2049	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales			
OTU2138	k__Fungi	p__Ascomycota					
OTU2252	k__Fungi						
OTU2274	k__Fungi						
OTU2408	k__Fungi						
OTU2448	k__Fungi	p__Mucoromycota	c__Endogonomycetes	o__Endogonales	f__Endogonaceae	g__Endogone	s__unidentified
OTU246	k__Fungi						
OTU2589	k__Fungi	p__Basidiomycota					
OTU2617	k__Fungi						
OTU263	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales			
OTU2668	k__Fungi						
OTU2853	k__Fungi						
OTU309	k__Fungi						
OTU487	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__Alphamycetaceae	g__Betamyces	
OTU491	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae		
OTU536	k__Fungi	p__Ascomycota					
OTU591	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales			
OTU643	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Acremoniopsis	s__Acremoniopsis_suttonii
OTU657	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales			
OTU846	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae		
OTU856	k__Fungi						
OTU969	k__Fungi	p__Mucoromycota	c__Endogonomycetes	o__GS22	f__unidentified	g__unidentified	s__unidentified
OTU979	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales			
OTU163	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Dennisiomyces	s__unidentified
OTU665	k__Fungi	p__Ascomycota	c__Geoglossomycetes	o__Geoglossales	f__Geoglossaceae	g__Trichoglossum	s__Trichoglossum_walteri
OTU16	k__Fungi	p__Ascomycota	c__Geoglossomycetes	o__Geoglossales	f__Geoglossaceae	g__Trichoglossum	s__Trichoglossum_walteri
OTU214	k__Fungi	p__Ascomycota					
OTU283	k__Fungi	p__Ascomycota					
OTU340	k__Fungi	p__Ascomycota	c__Geoglossomycetes	o__Geoglossales			
OTU284	k__Fungi						
OTU383	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Clavariaceae	g__Clavulinopsis	
OTU106	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales			
OTU342	k__Fungi	p__Ascomycota					
OTU785	k__Fungi	p__Basidiomycota	c__Agaricomycetes				
OTU687	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Mycosphaerellaceae		
OTU90	k__Fungi	p__Ascomycota					
OTU1094	k__Fungi	p__Ascomycota					
OTU1734	k__Fungi						
OTU1090	k__Fungi						
OTU1740	k__Fungi						
OTU455	k__Fungi	p__Mucoromycota	c__Mucoromycetes	o__Mucorales	f__Cunninghamellaceae	g__Gongronella	s__Gongronella_butleri
OTU228	k__Fungi	p__Ascomycota					
OTU629	k__Fungi	p__Ascomycota					
OTU989	k__Fungi	p__Basidiomycota	c__Agaricomycetes				
OTU474	k__Fungi	p__Glomeromycota					
OTU510	k__Fungi	p__Ascomycota					
OTU784	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	s__Trichoderma_viride
OTU836	k__Fungi	p__Glomeromycota					
OTU1091	k__Fungi						
OTU1717	k__Fungi						
OTU1804	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	
OTU203	k__Fungi	p__Basidiomycota	c__Agaricomycetes				
OTU407	k__Fungi	p__Ascomycota	c__Sordariomycetes				
OTU473	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Echria	
OTU628	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Microascaceae	g__Pseudallescheria	
OTU924	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	
OTU1719	k__Fungi	p__Ascomycota	c__Dothideomycetes				
OTU1732	k__Fungi	p__Ascomycota	c__Dothideomycetes				
OTU2406	k__Fungi	p__Ascomycota					
OTU667	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Chaetosphaeriales	f__Chaetosphaeriaceae	g__Thozetella	
OTU782	k__Fungi						
OTU118	k__Fungi						
OTU1328	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Tremellodendropsidales	f__unidentified	g__unidentified	s__unidentified
OTU1720	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Sordariales_fam_Incertae_sedis	g__Cordana	s__Cordana_terrestris
OTU1904	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__Fusarium_oxysporum
OTU1093	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusicolla	s__Fusicolla_aquaeductuum
OTU1261	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__unidentified	s__unidentified
OTU1286	k__Fungi						
OTU15	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae		
OTU1723	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymosphaeriaceae	g__Spegazzinia	s__unidentified
OTU1726	k__Fungi	p__Ascomycota					
OTU1735	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Clathrosphaerina	s__Clathrosphaerina_zalewskii
OTU1741	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales			
OTU1745	k__Fungi						
OTU1746	k__Fungi						
OTU1749	k__Fungi	p__Mucoromycota					
OTU1963	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales			
OTU2345	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Melanommataceae	g__unidentified	s__unidentified
OTU253	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Chaetosphaeriales	f__Chaetosphaeriaceae	g__Chaetosphaeria	
OTU324	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Corticiales	f__Corticiaceae	g__unidentified	s__unidentified
OTU395	k__Fungi	p__Mucoromycota	c__Mucoromycetes	o__Mucorales	f__Mucoraceae	g__Mucor	s__Mucor_irregularis
OTU653	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae		
OTU718	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Trechisporales	f__Hydnodontaceae	g__Trechispora	
OTU780	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Clavicipitaceae		
OTU789	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Omphalotaceae	g__unidentified	s__unidentified
OTU84	k__Fungi	p__Ascomycota					
OTU840	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae		
OTU932	k__Fungi						
OTU1096	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales			
OTU1100	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__unidentified	s__unidentified
OTU1103	k__Fungi						
OTU1148	k__Fungi						
OTU1230	k__Fungi	p__Glomeromycota	c__Archaeosporomycetes	o__Archaeosporales	f__unidentified	g__unidentified	s__unidentified
OTU1716	k__Fungi	p__Ascomycota					
OTU1724	k__Fungi	p__Mucoromycota	c__Umbelopsidomycetes	o__Umbelopsidales	f__Umbelopsidaceae	g__Umbelopsis	
OTU1731	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae		
OTU1733	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae		
OTU1737	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Microdochiaceae	g__Microdochium	
OTU2099	k__Fungi						
OTU2129	k__Fungi	p__Ascomycota					
OTU2214	k__Fungi						
OTU2243	k__Fungi	p__Ascomycota					
OTU2249	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	
OTU2396	k__Fungi	p__Ascomycota					
OTU381	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales			
OTU453	k__Fungi						
OTU467	k__Fungi	p__Ascomycota					
OTU563	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Plectosphaerellaceae	g__Verticillium	s__Verticillium_leptobactrum
OTU568	k__Fungi						
OTU708	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Pyrenochaetopsis	s__Pyrenochaetopsis_leptospora
OTU823	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	
OTU828	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Acremoniopsis	s__Acremoniopsis_suttonii
OTU1099	k__Fungi	p__Ascomycota					
OTU1172	k__Fungi	p__Ascomycota					
OTU1198	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Ophiocordycipitaceae	g__Purpureocillium	
OTU1224	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae		
OTU1226	k__Fungi						
OTU1233	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__unidentified	s__unidentified
OTU124	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Pyrenochaetopsis	s__Pyrenochaetopsis_leptospora
OTU1266	k__Fungi	p__Ascomycota					
OTU1339	k__Fungi	p__Ascomycota					
OTU1411	k__Fungi	p__Basidiomycota	c__Spiculogloeomycetes	o__Spiculogloeales	f__Spiculogloeaceae	g__Phyllozyma	s__Phyllozyma_linderae
OTU1415	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Bulleribasidium	s__Bulleribasidium_oberjochense
OTU1462	k__Fungi	p__Basidiomycota	c__Microbotryomycetes				
OTU1599	k__Fungi						
OTU1601	k__Fungi						
OTU1698	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae		
OTU1718	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	
OTU1721	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryomycetes_ord_Incertae_sedis	f__Chrysozymaceae	g__Chrysozyma	s__Chrysozyma_griseoflava
OTU1729	k__Fungi	p__Glomeromycota					
